,index,Sentiment,Text
0,0,0,way plug us unless go converter
1,1,1,good case excellent value
2,2,1,great jawbone
3,3,0,tied charger conversations lasting minutesmajor problems
4,4,1,mic great
5,5,0,jiggle plug get line right get decent volume
6,6,0,several dozen several hundred contacts imagine fun sending one one
7,7,1,razr owneryou must
8,8,0,needless say wasted money
9,9,0,waste money time
10,10,1,sound quality great
11,11,1,impressed going original battery extended battery
12,12,0,two seperated mere ft started notice excessive static garbled sound headset
13,13,1,good quality though
14,14,0,design odd ear clip comfortable
15,15,1,highly recommend one blue tooth phone
16,16,0,advise everyone fooled
17,17,1,far good
18,18,1,works great
19,19,0,clicks place way makes wonder long mechanism would last
20,20,0,went motorolas website followed directions could get pair
21,21,1,bought use kindle fire absolutely loved
22,22,0,commercials misleading
23,23,1,yet run new battery two bars thats three days without charging
24,24,0,bought mother problem battery
25,25,1,great pocket pc phone combination
26,26,1,ive owned phone months say best mobile phone ive
27,27,0,didnt think instructions provided helpful
28,28,0,people couldnt hear talk pull earphone talk phone
29,29,0,doesnt hold charge
30,30,0,simple little phone use breakage unacceptible
31,31,1,product ideal people like whose ears sensitive
32,32,0,unusable moving car freeway speed
33,33,0,two years left contract hate phone
34,34,1,car charger well ac charger included make sure never run juicehighy recommended
35,35,0,need least mins get phone book time first turn phonebattery life short
36,36,1,kept well
37,37,0,poor talk time performance
38,38,1,case great works fine
39,39,0,worthless product
40,40,1,great camera thats mp pics nice clear great picture quality
41,41,0,impressed product
42,42,1,nice headset priced right
43,43,0,hear garbage audio
44,44,1,excellent bluetooth headset
45,45,1,features want
46,46,0,right mind gon na buy battery
47,47,0,arguing verizon regarding dropped calls returned phones two days
48,48,1,case seems well made
49,49,0,disappointed battery
50,50,0,loud enough doesnt turn like
51,51,1,good protection make phone bulky
52,52,1,usable keyboard actually turns pda realworld useful machine instead neat gadget
53,53,1,phone pretty sturdy ive never large problems
54,54,1,love thing
55,55,1,everything fine reasonable price ie
56,56,0,disappointed
57,57,1,even dropped phone stream submerged seconds still works great
58,58,1,happy complaints one regarding sound quality end
59,59,0,buttons bad
60,60,0,essentially forget microsofts tech support
61,61,1,really recommend faceplates since looks nice elegant cool
62,62,1,headphones great find think perhaps best purchase ive made last several years seriously
63,63,0,buy different phone
64,64,0,hold phone particular angle party hear clearly
65,65,0,one big drawback mp player buttons phones front cover let pause skip songs lock seconds
66,66,0,week later activated suddenly died
67,67,1,feels comfortable headsets wear glasses gets way sometimes
68,68,1,great ipods
69,69,1,device great several situations
70,70,0,mic doesnt work
71,71,0,even bmw series fairly quiet trouble hearing person saying
72,72,1,great choice
73,73,1,nice docking station home work
74,74,1,beautiful phone
75,75,1,love product
76,76,0,buy dwrongly advertised
77,77,1,great little item
78,78,1,love phone handy lot features
79,79,0,purchased within days longer working
80,80,1,wear everyday holds well
81,81,0,good bargain
82,82,1,well packaged arrived time works intended
83,83,0,battery runs quickly
84,84,0,item worked great broke months use
85,85,1,headsets easy use everyone loves
86,86,1,phone works great
87,87,0,construction headsets poor
88,88,1,product excellent works better verizon one boy cheaper
89,89,1,phone loads super
90,90,0,product costs much one expect work far better greater ease thing
91,91,1,made sturdy
92,92,1,worked great
93,93,0,ear buds play music one ear
94,94,0,dont waste money
95,95,1,order
96,96,0,plan use car forget
97,97,0,found product waaay big
98,98,1,best ive found far ive tried bluetooths one best quality listener well ease using
99,99,0,im disappointed decision
100,100,1,integrated seamlessly motorola razr phone
101,101,0,buyer beware could flush money right toilet
102,102,1,definitely bargain
103,103,1,price good free shipping good purchase
104,104,0,received supposedly new motorola apparently match phone charger
105,105,1,prosgood camera nice pictures also cool styles like black white
106,106,0,thats huge design flaw unless im using correctly dont think case
107,107,1,love headset jabra bluetooth headset great reception good ear piece comfortable fit
108,108,0,camera although rated impressive megapixels renders images fall well expectations relatively high resolution
109,109,0,purcashed car charger work
110,110,1,sound quality end excellent use headset call wife ask wife use headset call
111,111,1,phone slim light display beautiful
112,112,1,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case
113,113,1,great product fast shipping
114,114,1,absolutely great
115,115,1,keyboard nice compromise full qwerty basic cell phone number keypad
116,116,0,got phone around end may im completely unhappy
117,117,1,comfortable ear
118,118,1,winner us
119,119,1,setup couldnt simpler
120,120,1,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably
121,121,0,could get strong enough signal
122,122,1,iam pleased purchase
123,123,0,bad quality
124,124,1,gets job done
125,125,1,great audio
126,126,0,basically service bad
127,127,0,work cell phone plug set charger
128,128,1,ive bluetooth weeks really like
129,129,0,bt headset disapoinment
130,130,1,small dont even realize getting used
131,131,1,accompanied software almost brilliant
132,132,1,headset works great packaged nicely avoid damage
133,133,1,definitly recommend
134,134,0,buyerbe careful
135,135,0,majority logitech earbud headsets failed
136,136,1,good stuff price
137,137,1,headset works peachykeen
138,138,0,house getting dropped coverage upstairs coverage basement
139,139,1,voice recognition tremendous
140,140,0,waste
141,141,0,several different minute calls experienced drops area bars
142,142,0,happy item
143,143,0,disappointed
144,144,0,phone takes forever charge like hours literally
145,145,1,got phone reccomendation relative im glad
146,146,0,waste time
147,147,0,reception poor
148,148,0,items stated included description included
149,149,0,months screen went black sudden
150,150,0,hoping
151,151,0,audio quality poor poor
152,152,1,absolutely problem headset linking blackberry curve
153,153,1,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great
154,154,0,ive bought wired headphones sound better
155,155,1,phone fast sending kind messages web browsing significantly faster previous phones used
156,156,1,nice quality build unlike cheap
157,157,1,item fantastic works perfectly
158,158,1,love colors
159,159,1,wi superb
160,160,0,whine internet goesthe use thing less like
161,161,1,great charger
162,162,0,essentially communications tool communicate
163,163,1,works like charm work one got phone
164,164,0,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans
165,165,1,great value
166,166,0,doesnt work bougth lc working
167,167,1,look sharp screen nice clear great graphics
168,168,0,doesnt last long
169,169,0,one thing hate mode set button side
170,170,1,excellent service
171,171,0,thank wasting money
172,172,0,bethe audio quality poor
173,173,1,igo chargers tips really great
174,174,1,file browser offers options one needshandsfree great
175,175,1,superb phone great network
176,176,1,connected wifes bluetoothmotorola hs phone worked like charm whether phone pocket case
177,177,0,put latest os vg likes slow crawl lock every
178,178,0,recognizes phone storage device
179,179,0,like loud buzzing override conversations phone
180,180,0,dont buy product
181,181,0,ive bluetoooth headset time still comfortable way fits ear
182,182,1,sound quality good functionality awesome
183,183,0,phone thorn side really abhor
184,184,0,recently problems could stay connected minutes disconnected
185,185,1,incredible
186,186,0,design flaw
187,187,1,great phone
188,188,0,waste bucks
189,189,0,check voice mail night keypad backlight turns seconds first message im lost
190,190,0,replacement died weeks
191,191,1,ring toneoverall good phone buy
192,192,1,lately extremely nice helpful phone
193,193,0,problems wit hit dropping signal
194,194,0,impressed
195,195,1,light weight hardly notice
196,196,1,youll love thin
197,197,0,bad choice
198,198,0,pleather case doesnt fit
199,199,0,useless phone simply deaf
200,200,1,color even prettier thought would graphics incredibly sharp
201,201,1,think good investment
202,202,0,makes strange ticking noises ends call
203,203,1,best electronics available fm transmitters
204,204,0,battery lasts hours
205,205,1,great headset impressed h
206,206,1,mega pixel camera part phone reasonably good
207,207,1,ive nearly years worked great
208,208,1,good transmit audio
209,209,0,sending back
210,210,0,bother contacting company dollar product learned lesson bought form online anyway
211,211,0,hate earbugs avoid phone means
212,212,1,great price also
213,213,1,range decent ive able roam around house phone living room receptionsound quality issues
214,214,1,fast service
215,215,1,would highly recommend
216,216,1,would recommend
217,217,0,also didnt like button felt like would crack use
218,218,0,worst phone ever
219,219,1,im still infatuated phone
220,220,0,freezes frequently
221,221,0,kind embarrassing use looks mostly embarrassing childlike company
222,222,1,simple lightweight great fit
223,223,0,id expected better consumer experience motorola
224,224,0,theres horrible tick sound background calls never experienced
225,225,1,certainly comfortable functionality decent
226,226,1,usually dont like headbands one lightweight doesnt mess hair
227,227,0,im bit disappointed
228,228,0,phone year tell great
229,229,0,ordered sony ericsson wi think worked thats first used
230,230,0,battery completely useless
231,231,0,big waste time
232,232,0,dont waste one
233,233,1,great sound service
234,234,1,really pleased product far
235,235,1,one favorite purchases ever
236,236,1,best bluetooth market
237,237,1,authentic leather nice shine comfort recommend case
238,238,1,excited get headset thought really cute
239,239,0,make mistake
240,240,0,big disappointment calendar sync
241,241,0,phone unusable new
242,242,0,worst customer service ever
243,243,0,additional ear gels provided instructions whatsoever
244,244,0,defeats purpose bluetooth headset
245,245,1,worth every penny
246,246,1,excellent wallet type phone case
247,247,1,nice headphones price work great
248,248,0,internet excrutiatingly slow
249,249,1,comfortable wear well probably important aspect using case
250,250,1,fits like glove strong secure durable
251,251,1,gosh best phone ever
252,252,1,attractive appears good quality
253,253,1,love features form factor
254,254,0,product strong rubberpetroleum smell unbearable caused return
255,255,0,poor quality service
256,256,0,cable looks thin flimsy scary
257,257,1,great earpiece
258,258,1,excellent hands free tool
259,259,1,great using home stereo
260,260,1,good product incredible value
261,261,1,month worked flawlessly far
262,262,1,works great
263,263,0,absolutel junk
264,264,0,one didnt work either
265,265,1,battery life real good
266,266,0,returned hours later
267,267,1,great item
